<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.03	1827.360	1849.880	1823.640	1839.270	129673	0	150
2023.01.04	1838.410	1865.070	1836.080	1854.200	134895	0	150
2023.01.05	1854.060	1858.970	1825.040	1832.920	122775	0	150
2023.01.06	1830.310	1869.750	1830.110	1866.410	114984	0	150
2023.01.09	1867.570	1881.440	1864.220	1871.470	107333	0	150
2023.01.10	1870.860	1880.690	1867.660	1877.060	115412	0	150
2023.01.11	1876.160	1886.530	1867.040	1875.790	106339	0	150
2023.01.12	1875.010	1901.520	1867.220	1897.190	151768	0	150
2023.01.13	1895.210	1921.830	1892.260	1920.610	142623	0	110
2023.01.16	1918.820	1928.920	1910.790	1913.360	83018	0	150
2023.01.17	1915.830	1918.980	1903.660	1908.230	125749	0	150
2023.01.18	1907.860	1925.840	1896.480	1903.990	162036	0	160
2023.01.19	1904.210	1935.110	1900.940	1931.540	146574	0	150
2023.01.20	1931.800	1937.490	1920.610	1926.700	118132	0	150
2023.01.23	1925.460	1935.480	1911.350	1931.440	121880	0	150
2023.01.24	1930.600	1942.470	1917.140	1937.220	120022	0	150
2023.01.25	1936.900	1948.020	1919.850	1946.290	111880	0	150
2023.01.26	1946.000	1949.110	1918.530	1929.100	118406	0	150
2023.01.27	1927.500	1934.980	1916.570	1928.190	102090	0	150
2023.01.30	1928.500	1934.400	1920.640	1922.970	98996	0	150
2023.01.31	1922.320	1931.130	1900.740	1927.970	120542	0	150
2023.02.01	1927.660	1954.510	1920.490	1950.030	136832	0	150
2023.02.02	1950.550	1959.660	1911.280	1912.430	170539	0	150
2023.02.03	1911.400	1918.510	1861.360	1865.650	164754	0	150
2023.02.06	1860.650	1881.350	1859.760	1867.510	137706	0	150
2023.02.07	1867.120	1884.390	1864.960	1872.070	149624	0	150
2023.02.08	1872.250	1886.360	1868.930	1875.690	111490	0	150
2023.02.09	1875.100	1890.230	1858.870	1861.120	124665	0	150
2023.02.10	1861.470	1872.140	1852.740	1865.450	127644	0	150
2023.02.13	1863.710	1866.490	1850.450	1853.740	101987	0	150
2023.02.14	1852.750	1870.630	1843.200	1854.370	150556	0	150
2023.02.15	1853.370	1860.120	1830.450	1836.120	120615	0	150
2023.02.16	1835.200	1845.280	1827.600	1836.160	130018	0	150
2023.02.17	1836.370	1843.540	1818.870	1841.930	123305	0	150
2023.02.20	1840.320	1847.490	1837.300	1841.310	63643	0	150
2023.02.21	1840.850	1843.820	1830.220	1834.860	125633	0	150
2023.02.22	1834.470	1846.010	1823.490	1825.170	127456	0	150
2023.02.23	1824.970	1833.710	1817.460	1822.120	119320	0	150
2023.02.24	1821.810	1827.780	1808.910	1811.170	129499	0	150
2023.02.27	1811.050	1820.130	1806.610	1817.120	111132	0	150
2023.02.28	1816.700	1831.140	1804.600	1826.990	113103	0	150
2023.03.01	1826.170	1844.600	1823.060	1836.700	123676	0	150
2023.03.02	1836.380	1838.970	1829.920	1835.880	120882	0	150
2023.03.03	1835.670	1856.330	1834.350	1854.790	115511	0	150
2023.03.06	1853.950	1858.270	1845.070	1847.000	107710	0	150
2023.03.07	1845.850	1851.630	1812.650	1813.440	144048	0	150
2023.03.08	1813.250	1824.260	1809.350	1813.520	131162	0	150
2023.03.09	1813.170	1835.630	1811.870	1830.860	122076	0	150
2023.03.10	1830.970	1869.970	1827.690	1867.390	210955	0	150
2023.03.13	1878.430	1914.590	1871.470	1913.760	292902	0	150
2023.03.14	1912.160	1914.120	1895.340	1903.580	220465	0	150
2023.03.15	1904.290	1937.310	1885.650	1918.000	232965	0	150
2023.03.16	1919.050	1933.460	1907.480	1919.690	222693	0	150
2023.03.17	1919.740	1987.710	1918.200	1986.130	183351	0	150
2023.03.20	1985.270	2009.750	1965.800	1978.750	210003	0	150
2023.03.21	1978.670	1985.150	1935.360	1940.350	166189	0	150
2023.03.22	1939.620	1978.780	1934.240	1968.050	176530	0	150
2023.03.23	1967.720	2003.300	1964.400	1993.030	195213	0	150
2023.03.24	1992.640	2003.080	1975.130	1977.530	195912	0	150
2023.03.27	1978.150	1979.470	1943.930	1956.070	147991	0	150
2023.03.28	1955.670	1975.280	1949.090	1973.700	131242	0	150
2023.03.29	1972.280	1974.350	1958.610	1964.530	95822	0	150
2023.03.30	1963.320	1984.260	1955.310	1979.880	115362	0	150
2023.03.31	1979.770	1987.520	1966.830	1969.220	119148	0	150
2023.04.03	1972.570	1990.510	1949.700	1984.040	125656	0	150
2023.04.04	1983.470	2025.000	1976.870	2020.440	121844	0	150
2023.04.05	2020.360	2032.140	2009.890	2020.230	115966	0	150
2023.04.06	2020.470	2021.280	2000.810	2007.470	103657	0	150
2023.04.10	1998.800	2006.340	1981.560	1991.260	82442	0	150
2023.04.11	1990.980	2007.460	1988.780	2003.280	90827	0	150
2023.04.12	2002.970	2028.250	2001.310	2014.690	133315	0	150
2023.04.13	2013.650	2048.650	2013.350	2040.750	114488	0	150
2023.04.14	2039.750	2047.400	1992.360	2004.550	143364	0	150
2023.04.17	1998.150	2014.990	1981.080	1995.030	115768	0	150
2023.04.18	1994.970	2011.800	1991.220	2004.640	99522	0	150
2023.04.19	2004.970	2008.130	1969.190	1994.920	127786	0	150
2023.04.20	1993.670	2012.320	1990.450	2004.660	117058	0	150
2023.04.21	2004.160	2005.500	1971.500	1982.640	124960	0	150
2023.04.24	1980.870	1990.790	1974.050	1988.880	107598	0	150
2023.04.25	1988.970	2003.820	1976.050	1996.530	133104	0	150
2023.04.26	1996.350	2009.330	1983.270	1989.140	132562	0	150
2023.04.27	1989.250	2003.380	1973.980	1987.600	125917	0	150
2023.04.28	1987.350	1995.020	1975.980	1989.660	144331	0	150
2023.05.01	1990.250	2006.000	1977.030	1982.460	111440	0	150
2023.05.02	1980.350	2019.350	1978.410	2016.620	129111	0	150
2023.05.03	2016.530	2039.360	2005.220	2038.940	132325	0	150
2023.05.04	2042.770	2077.890	2030.280	2050.440	190679	0	150
2023.05.05	2048.650	2052.960	1999.440	2015.840	132290	0	150
2023.05.08	2014.570	2029.340	2014.050	2021.340	91482	0	150
2023.05.09	2020.370	2037.540	2019.420	2034.400	93796	0	150
2023.05.10	2033.770	2048.140	2021.460	2029.980	119692	0	150
2023.05.11	2029.830	2041.160	2011.080	2014.970	136252	0	150
2023.05.12	2014.970	2022.540	2000.850	2010.810	110562	0	150
2023.05.15	2007.970	2022.140	2007.090	2015.960	113763	0	150
2023.05.16	2015.370	2018.280	1985.410	1988.680	138882	0	150
2023.05.17	1988.170	1993.010	1974.950	1981.810	128252	0	150
2023.05.18	1981.320	1985.980	1951.930	1957.290	132159	0	150
2023.05.19	1957.370	1984.150	1953.990	1977.560	150288	0	150
2023.05.22	1977.570	1982.530	1968.820	1971.660	131700	0	150
2023.05.23	1971.670	1977.700	1954.210	1975.210	148143	0	150
2023.05.24	1974.770	1985.240	1956.670	1957.590	145682	0	150
2023.05.25	1956.270	1964.720	1938.820	1940.490	150051	0	150
2023.05.26	1940.440	1957.220	1936.720	1946.500	131416	0	150
2023.05.29	1942.670	1949.670	1940.180	1944.590	46475	0	150
2023.05.30	1943.870	1963.480	1932.000	1959.830	135659	0	150
2023.05.31	1959.330	1974.730	1953.630	1963.050	143964	0	150
2023.06.01	1962.370	1983.060	1953.350	1977.810	141740	0	150
2023.06.02	1977.630	1983.390	1947.930	1948.210	136932	0	150
2023.06.05	1945.950	1963.970	1938.110	1961.590	125564	0	150
2023.06.06	1961.600	1966.320	1954.300	1963.020	117765	0	150
2023.06.07	1963.080	1970.150	1939.790	1940.010	144034	0	150
2023.06.08	1940.170	1970.560	1939.630	1965.380	138433	0	150
2023.06.09	1965.470	1973.070	1956.610	1960.560	119006	0	150
2023.06.12	1960.000	1966.940	1949.170	1956.880	124858	0	150
2023.06.13	1957.370	1971.120	1940.010	1942.970	154874	0	150
2023.06.14	1943.570	1960.280	1939.860	1939.940	148689	0	150
2023.06.15	1941.320	1960.210	1924.620	1957.940	160854	0	150
2023.06.16	1957.680	1967.860	1953.250	1957.360	136561	0	150
2023.06.19	1957.420	1958.700	1947.720	1951.720	67668	0	150
2023.06.20	1950.670	1956.730	1929.710	1935.620	139978	0	150
2023.06.21	1935.810	1939.440	1919.150	1932.250	150427	0	150
2023.06.22	1931.470	1934.800	1912.310	1913.150	131382	0	150
2023.06.23	1913.300	1937.320	1909.890	1921.320	137641	0	150
2023.06.26	1925.170	1933.320	1921.490	1922.960	98967	0	150
2023.06.27	1922.750	1930.640	1910.840	1913.000	103710	0	150
2023.06.28	1913.270	1917.110	1902.770	1906.830	104447	0	150
2023.06.29	1907.470	1913.100	1892.910	1908.070	111262	0	150
2023.06.30	1907.570	1922.690	1900.530	1919.190	105108	0	150
2023.07.03	1919.170	1930.900	1909.930	1923.520	85467	0	150
2023.07.04	1921.380	1930.630	1919.740	1924.630	41749	0	150
2023.07.05	1926.090	1935.000	1914.760	1914.760	97073	0	150
2023.07.06	1914.550	1927.560	1902.590	1910.630	118549	0	150
2023.07.07	1910.470	1934.820	1909.560	1925.040	110440	0	150
2023.07.10	1924.770	1928.130	1912.520	1925.040	93270	0	150
2023.07.11	1925.170	1938.400	1924.290	1932.110	94133	0	150
2023.07.12	1931.500	1959.660	1931.500	1957.500	114417	0	150
2023.07.13	1956.640	1963.540	1952.320	1960.310	111819	0	150
